Time	Smad3n	Smad3c	Smad4n	Smad4c	T1R_Surf	T2R_Cave	T2R_Surf	Smads_Complex_n	T1R_EE	T1R_Cave	TGF_beta	LRC_Cave	LRC_Surf	Smads_Complex_c	T2R_EE	LRC_EE	Kexp_Smad2n	Kdeg_T1R_EE	Klid	Total_Smad2c	Total_Smad2n	kr_EE	ki_EE	v_T2R	v_T1R	k_LRC	Kcd	kr_Cave	ki_Cave	Kexp_Smad4n	Kdiss_Smads_Complex_n	Kimp_Smad2c	Kimp_Smads_Complex_c	Kimp_Smad4c	Kdeg_T2R_EE	k_Smads_Complex_c
100	187.07	300.676	539.437	945.1	0.00571211	0.30249	0.0424799	365.909	0.153971	0.159964	0.0760177	2.26162e-06	0.0623109	86.4247	0.192643	0.690726	1	0.005	0.02609	387.1	552.979	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
110	189.226	308.892	540.064	953.825	0.00456892	0.333741	0.0484421	350.732	0.119223	0.123998	0.075913	2.14763e-06	0.0567163	82.5491	0.222429	0.635081	1	0.005	0.02609	391.441	539.958	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
120	191.416	317.297	540.67	962.759	0.00373973	0.371478	0.0542676	335.027	0.0928066	0.0965966	0.0758355	2.05756e-06	0.0519045	78.6483	0.253873	0.582822	1	0.005	0.02609	395.946	526.443	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
130	193.583	325.66	541.244	971.653	0.00312853	0.413148	0.0598604	319.256	0.0728007	0.075803	0.0757817	1.98895e-06	0.0478117	74.8207	0.285761	0.534941	1	0.005	0.02609	400.48	512.839	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
140	195.679	333.785	541.776	980.299	0.0026705	0.456794	0.0651654	303.81	0.057677	0.0600538	0.0757486	1.93914e-06	0.0443591	71.1457	0.317233	0.491913	1	0.005	0.02609	404.93	499.489	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
150	197.666	341.52	542.262	988.535	0.00232179	0.500964	0.0701553	289.001	0.0462448	0.0481281	0.0757335	1.90546e-06	0.0414641	67.684	0.347709	0.453841	1	0.005	0.02609	409.204	486.667	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
160	199.517	348.754	542.699	996.24	0.00205242	0.544608	0.0748209	275.068	0.0375908	0.0390867	0.0757342	1.88531e-06	0.0390476	64.4778	0.376823	0.420573	1	0.005	0.02609	413.232	474.585	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
170	201.215	355.412	543.086	1003.33	0.00184157	0.587	0.0791644	262.172	0.0310225	0.0322157	0.0757489	1.87621e-06	0.0370375	61.5525	0.404363	0.391797	1	0.005	0.02609	416.964	463.387	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
180	202.751	361.453	543.426	1009.77	0.00167452	0.627655	0.083195	250.413	0.0260185	0.026976	0.075776	1.87587e-06	0.0353699	58.9192	0.430227	0.367113	1	0.005	0.02609	420.372	453.164	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
190	204.122	366.865	543.72	1015.55	0.0015407	0.666275	0.0869265	239.831	0.0221884	0.0229626	0.075814	1.88218e-06	0.0339892	56.577	0.454387	0.346085	1	0.005	0.02609	423.442	443.954	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
200	205.334	371.659	543.973	1020.66	0.00143242	0.702693	0.0903746	230.421	0.0192405	0.0198725	0.0758619	1.89327e-06	0.0328478	54.5161	0.476866	0.328273	1	0.005	0.02609	426.175	435.755	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
210	206.394	375.862	544.188	1025.14	0.00134398	0.736842	0.0935564	222.14	0.0169574	0.0174791	0.0759186	1.90751e-06	0.0319056	52.7198	0.497717	0.313258	1	0.005	0.02609	428.582	428.534	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
220	207.313	379.515	544.37	1029.04	0.00127111	0.768722	0.0964892	214.921	0.0151768	0.0156129	0.0759832	1.92355e-06	0.0311284	51.1672	0.517013	0.30065	1	0.005	0.02609	430.682	422.235	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
230	208.104	382.663	544.524	1032.4	0.00121057	0.798381	0.0991901	208.681	0.0137777	0.0141474	0.076055	1.94031e-06	0.0304879	49.8352	0.534839	0.290101	1	0.005	0.02609	432.498	416.785	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
240	208.78	385.359	544.652	1035.28	0.0011599	0.825899	0.101676	203.325	0.0126696	0.0129876	0.0761333	1.95697e-06	0.0299604	48.6996	0.551284	0.281297	1	0.005	0.02609	434.058	412.105	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
250	209.355	387.652	544.76	1037.73	0.00111716	0.851374	0.103962	198.758	0.0117846	0.0120623	0.0762176	1.97292e-06	0.0295262	47.7369	0.566439	0.273969	1	0.005	0.02609	435.389	408.112	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
260	209.84	389.594	544.849	1039.8	0.00108086	0.874917	0.106064	194.885	0.0110718	0.011318	0.0763072	1.98777e-06	0.0291688	46.9247	0.580393	0.267881	1	0.005	0.02609	436.518	404.725	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
270	210.249	391.23	544.923	1041.55	0.00104982	0.896645	0.107995	191.616	0.0104926	0.010714	0.0764017	2.00129e-06	0.0288747	46.2422	0.593232	0.262832	1	0.005	0.02609	437.472	401.865	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
280	210.591	392.603	544.984	1043.02	0.00102312	0.916676	0.10977	188.869	0.0100178	0.0102196	0.0765006	2.01339e-06	0.0286328	45.6708	0.605039	0.25865	1	0.005	0.02609	438.273	399.46	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
290	210.877	393.751	545.035	1044.25	0.000999995	0.935124	0.1114	186.568	0.0096252	0.0098114	0.0766037	2.02406e-06	0.0284338	45.1938	0.615892	0.25519	1	0.005	0.02609	438.945	397.445	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
300	211.116	394.709	545.077	1045.27	0.000979855	0.952103	0.112896	184.647	0.00929769	0.00947147	0.0767105	2.03335e-06	0.0282701	44.7965	0.625865	0.252331	1	0.005	0.02609	439.506	395.763	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
310	211.315	395.507	545.111	1046.12	0.000962211	0.96772	0.11427	183.046	0.00902216	0.00918596	0.0768207	2.04135e-06	0.0281354	44.4663	0.635026	0.24997	1	0.005	0.02609	439.973	394.361	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
320	211.48	396.169	545.14	1046.83	0.00094667	0.982077	0.115531	181.716	0.00878845	0.00894415	0.076934	2.0482e-06	0.0280245	44.1924	0.643438	0.248021	1	0.005	0.02609	440.362	393.195	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
330	211.616	396.718	545.163	1047.42	0.000932907	0.995271	0.116689	180.612	0.00858862	0.00873771	0.0770502	2.05401e-06	0.0279333	43.9655	0.651163	0.246414	1	0.005	0.02609	440.684	392.228	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
340	211.729	397.173	545.183	1047.9	0.000920658	1.00739	0.117751	179.697	0.00841645	0.0085601	0.077169	2.05891e-06	0.0278582	43.7777	0.658253	0.245088	1	0.005	0.02609	440.951	391.426	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
350	211.823	397.55	545.198	1048.3	0.000909702	1.01852	0.118726	178.94	0.00826702	0.00840616	0.0772901	2.06303e-06	0.0277963	43.6224	0.664761	0.243996	1	0.005	0.02609	441.172	390.763	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
360	211.9	397.861	545.212	1048.64	0.000899857	1.02874	0.11962	178.314	0.0081364	0.00827177	0.0774135	2.06647e-06	0.0277453	43.4941	0.670734	0.243095	1	0.005	0.02609	441.355	390.214	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
370	211.964	398.118	545.222	1048.91	0.000890969	1.03813	0.12044	177.796	0.00802147	0.00815365	0.0775389	2.06935e-06	0.0277032	43.3881	0.676215	0.242352	1	0.005	0.02609	441.507	389.76	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
380	212.017	398.331	545.231	1049.14	0.00088291	1.04674	0.121193	177.369	0.00791971	0.00804917	0.0776661	2.07174e-06	0.0276686	43.3006	0.681243	0.24174	1	0.005	0.02609	441.631	389.386	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
390	212.061	398.506	545.239	1049.33	0.000875574	1.05464	0.121883	177.016	0.00782908	0.00795621	0.0777951	2.07372e-06	0.0276399	43.2284	0.685857	0.241235	1	0.005	0.02609	441.735	389.076	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
400	212.097	398.651	545.245	1049.48	0.000868867	1.06189	0.122516	176.724	0.00774789	0.00787301	0.0779255	2.07536e-06	0.0276163	43.1687	0.690089	0.240819	1	0.005	0.02609	441.82	388.821	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
410	212.126	398.771	545.25	1049.61	0.000862713	1.06855	0.123097	176.484	0.00767479	0.00779814	0.0780574	2.07672e-06	0.0275967	43.1195	0.693972	0.240475	1	0.005	0.02609	441.89	388.61	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
420	212.151	398.869	545.254	1049.71	0.000857043	1.07465	0.12363	176.285	0.00760862	0.00773042	0.0781906	2.07784e-06	0.0275805	43.0788	0.697533	0.240192	1	0.005	0.02609	441.948	388.436	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
430	212.171	398.951	545.258	1049.8	0.000851803	1.08025	0.124118	176.121	0.00754844	0.00766888	0.078325	2.07877e-06	0.0275671	43.0452	0.700799	0.239958	1	0.005	0.02609	441.996	388.292	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
440	212.188	399.018	545.26	1049.87	0.000846942	1.08539	0.124566	175.985	0.00749346	0.00761268	0.0784605	2.07953e-06	0.027556	43.0174	0.703795	0.239764	1	0.005	0.02609	442.036	388.173	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
450	212.202	399.074	545.263	1049.93	0.000842417	1.0901	0.124977	175.873	0.00744302	0.00756115	0.078597	2.08016e-06	0.0275468	42.9944	0.706543	0.239604	1	0.005	0.02609	442.068	388.075	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
460	212.213	399.12	545.265	1049.98	0.000838193	1.09442	0.125354	175.78	0.00739654	0.00751369	0.0787344	2.08068e-06	0.0275391	42.9754	0.709062	0.239472	1	0.005	0.02609	442.095	387.994	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
470	212.223	399.158	545.266	1050.02	0.000834236	1.09838	0.1257	175.704	0.00735356	0.00746982	0.0788726	2.0811e-06	0.0275327	42.9596	0.711373	0.239362	1	0.005	0.02609	442.118	387.926	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
480	212.231	399.19	545.268	1050.06	0.000830519	1.10202	0.126016	175.64	0.00731366	0.0074291	0.0790116	2.08145e-06	0.0275274	42.9466	0.713492	0.239271	1	0.005	0.02609	442.136	387.871	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
490	212.237	399.216	545.269	1050.09	0.000827017	1.10535	0.126307	175.587	0.00727649	0.00739119	0.0791513	2.08174e-06	0.027523	42.9358	0.715435	0.239196	1	0.005	0.02609	442.152	387.824	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
500	212.243	399.238	545.27	1050.11	0.000823708	1.10841	0.126573	175.544	0.00724174	0.00735575	0.0792917	2.08198e-06	0.0275193	42.9268	0.717217	0.239133	1	0.005	0.02609	442.165	387.786	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
510	212.247	399.256	545.27	1050.13	0.000820573	1.11121	0.126817	175.507	0.00720915	0.00732253	0.0794327	2.08218e-06	0.0275162	42.9193	0.718851	0.239081	1	0.005	0.02609	442.175	387.754	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
520	212.251	399.271	545.271	1050.14	0.000817595	1.11378	0.127041	175.477	0.00717849	0.00729128	0.0795742	2.08234e-06	0.0275136	42.9131	0.720349	0.239038	1	0.005	0.02609	442.184	387.728	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
530	212.254	399.283	545.272	1050.16	0.000814759	1.11614	0.127247	175.452	0.00714956	0.0072618	0.0797162	2.08248e-06	0.0275114	42.9079	0.721723	0.239002	1	0.005	0.02609	442.191	387.706	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
540	212.256	399.294	545.272	1050.17	0.000812052	1.1183	0.127435	175.431	0.00712218	0.0072339	0.0798586	2.08259e-06	0.0275096	42.9036	0.722982	0.238971	1	0.005	0.02609	442.197	387.688	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
550	212.259	399.303	545.272	1050.18	0.000809462	1.12028	0.127607	175.414	0.0070962	0.00720744	0.0800015	2.08268e-06	0.0275081	42.8999	0.724137	0.238946	1	0.005	0.02609	442.203	387.672	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
560	212.26	399.31	545.273	1050.19	0.000806978	1.12209	0.127766	175.399	0.00707148	0.00718226	0.0801448	2.08275e-06	0.0275068	42.8969	0.725195	0.238925	1	0.005	0.02609	442.207	387.66	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
570	212.262	399.316	545.273	1050.19	0.000804591	1.12376	0.127911	175.387	0.00704789	0.00715825	0.0802884	2.08282e-06	0.0275057	42.8944	0.726166	0.238908	1	0.005	0.02609	442.21	387.649	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
580	212.263	399.321	545.273	1050.2	0.000802291	1.12529	0.128044	175.377	0.00702534	0.00713529	0.0804323	2.08287e-06	0.0275048	42.8923	0.727056	0.238893	1	0.005	0.02609	442.213	387.64	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
590	212.264	399.325	545.273	1050.2	0.000800072	1.12669	0.128166	175.368	0.00700372	0.00711329	0.0805766	2.08291e-06	0.0275041	42.8905	0.727871	0.238881	1	0.005	0.02609	442.216	387.633	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
600	212.265	399.329	545.274	1050.21	0.000797926	1.12797	0.128277	175.361	0.00698296	0.00709215	0.0807211	2.08295e-06	0.0275034	42.8891	0.728619	0.23887	1	0.005	0.02609	442.218	387.626	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
610	212.266	399.332	545.274	1050.21	0.000795847	1.12915	0.12838	175.355	0.00696296	0.00707181	0.0808658	2.08298e-06	0.0275029	42.8878	0.729305	0.238862	1	0.005	0.02609	442.22	387.621	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
620	212.267	399.334	545.274	1050.21	0.00079383	1.13023	0.128474	175.35	0.00694367	0.00705218	0.0810108	2.08301e-06	0.0275025	42.8868	0.729933	0.238854	1	0.005	0.02609	442.221	387.617	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
630	212.267	399.336	545.274	1050.21	0.000791869	1.13121	0.12856	175.346	0.00692503	0.00703321	0.081156	2.08303e-06	0.0275021	42.8859	0.730509	0.238848	1	0.005	0.02609	442.222	387.613	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
640	212.267	399.338	545.274	1050.22	0.00078996	1.13212	0.128638	175.343	0.00690697	0.00701484	0.0813014	2.08305e-06	0.0275018	42.8852	0.731037	0.238843	1	0.005	0.02609	442.223	387.61	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
650	212.268	399.34	545.274	1050.22	0.000788098	1.13295	0.128711	175.34	0.00688945	0.00699702	0.081447	2.08306e-06	0.0275015	42.8846	0.731521	0.238839	1	0.005	0.02609	442.224	387.607	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
660	212.268	399.341	545.274	1050.22	0.00078628	1.13371	0.128777	175.337	0.00687242	0.0069797	0.0815927	2.08308e-06	0.0275013	42.8841	0.731965	0.238836	1	0.005	0.02609	442.225	387.605	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
670	212.268	399.342	545.274	1050.22	0.000784503	1.13441	0.128838	175.335	0.00685584	0.00696285	0.0817386	2.08309e-06	0.0275012	42.8837	0.732372	0.238833	1	0.005	0.02609	442.225	387.604	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
680	212.269	399.343	545.274	1050.22	0.000782762	1.13505	0.128893	175.333	0.00683968	0.00694641	0.0818846	2.0831e-06	0.027501	42.8833	0.732744	0.23883	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
690	212.269	399.343	545.274	1050.22	0.000781056	1.13564	0.128944	175.332	0.0068239	0.00693037	0.0820307	2.08311e-06	0.0275009	42.883	0.733086	0.238828	1	0.005	0.02609	442.226	387.601	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
700	212.269	399.344	545.274	1050.22	0.000779382	1.13617	0.128991	175.331	0.00680848	0.00691468	0.0821769	2.08311e-06	0.0275009	42.8828	0.733399	0.238827	1	0.005	0.02609	442.227	387.6	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
710	212.269	399.344	545.274	1050.22	0.000777737	1.13667	0.129034	175.33	0.00679337	0.00689933	0.0823233	2.08312e-06	0.0275008	42.8826	0.733685	0.238826	1	0.005	0.02609	442.227	387.599	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
720	212.269	399.345	545.274	1050.22	0.000776119	1.13712	0.129073	175.329	0.00677857	0.00688428	0.0824697	2.08313e-06	0.0275008	42.8825	0.733948	0.238825	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
730	212.269	399.345	545.274	1050.22	0.000774527	1.13753	0.129109	175.329	0.00676404	0.00686951	0.0826163	2.08313e-06	0.0275008	42.8824	0.734189	0.238824	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
740	212.269	399.345	545.274	1050.22	0.000772958	1.13791	0.129142	175.328	0.00674977	0.00685501	0.0827629	2.08314e-06	0.0275008	42.8823	0.73441	0.238824	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
750	212.269	399.345	545.274	1050.22	0.000771411	1.13826	0.129172	175.328	0.00673573	0.00684074	0.0829095	2.08314e-06	0.0275008	42.8823	0.734612	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
760	212.269	399.345	545.274	1050.22	0.000769884	1.13858	0.1292	175.328	0.00672192	0.0068267	0.0830563	2.08315e-06	0.0275008	42.8823	0.734797	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
770	212.269	399.345	545.274	1050.22	0.000768377	1.13887	0.129225	175.328	0.00670831	0.00681287	0.0832031	2.08315e-06	0.0275009	42.8822	0.734966	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
